,Row,DynRange,DynIQR,DynStDev,TempRange,TempIQR,TempStDev,DynPolyCoeff1,DynPolyCoeff2,DynPolyCoeff3,TempPolyCoeff1,TempPolyCoeff2,TempPolyCoeff3
143,Grumiaux Gavotte bar2: 37,19.949816271106442,4.780199124786954,7.807807338619369,10.508921935514167,3.7522667193295263,6.794874920908455,-8.107578878505754e-06,-0.12545273334697812,-14.666150545805682,0.12072015539407625,-0.8253651559472601,75.39433952406615
144,Grumiaux Gavotte bar2: 38,18.196722191702293,3.70579914012895,3.887090467952163,16.376633865014355,4.793698884769062,7.191550608234053,0.0037778345206431695,-0.19784788159711622,-19.603799293105165,-0.13501300839691674,2.822150230489855,70.17084671933318
145,Grumiaux Gavotte bar2: 39,24.111263236949185,4.377957168136472,4.64501603750179,17.246866873121817,6.118064932257745,10.96437923946803,0.00035750599388833495,-0.0625198449683543,-16.218493560390712,-0.2821860443689883,2.537530211891739,75.54467684854271
146,Grumiaux Gavotte bar2: 40,24.65903275408715,5.950886540287237,7.217398367838811,11.125779643209775,3.772372867889185,5.773697071379317,0.005876379828736551,-0.5006173224654116,-13.213488312886293,0.23051529389263312,-1.6570476428846785,70.08017099555482
147,Grumiaux Gavotte bar2: 41,21.008680232568793,5.238206689768815,7.41246574984541,21.635192145254308,6.1412337715653615,8.514310797676075,-0.00010576023102949824,-0.16243132241998942,-10.850593542862148,-0.12732240786278268,1.6529638528995287,71.35494448208
148,Grumiaux Gavotte bar2: 42,13.173874854318797,3.248547122423278,5.067022275401911,32.941777323803336,7.010401227591486,4.143651628962857,-0.0017202517934958458,0.1405867361767036,-21.88345169431938,0.11418885493364299,-1.0973284781282366,80.56833438693089
149,Grumiaux Gavotte bar2: 43,13.709168201731245,3.0129848631628535,4.613898304775375,29.511873893891234,7.311500864340394,8.54809656798858,-0.0023617609437819706,0.21158247346715986,-22.499084891048373,0.19050166875068897,-3.2079078190358095,92.69524870747195
150,Grumiaux Gavotte bar2: 44,18.938166709534755,4.333559694371336,6.64447759182282,19.807193372510213,6.381628107482027,8.97779158865066,0.00017356964847876276,-0.13058011278494924,-11.093444403095726,0.3202240889180058,-4.539365601065681,85.61381910317228
151,Grumiaux Gavotte bar2: 45,14.757020952008077,2.6943086595891725,3.38910423597855,23.661698202532335,6.587647269989933,7.849007395456113,0.003258983369104611,-0.2701486251139205,-13.650460960915597,-0.05449050077452653,0.815929852703473,80.43256641939821
152,Grumiaux Gavotte bar2: 46,13.42434476825997,2.974224074304519,3.2860349057857547,19.742755620489163,5.839305412168732,6.917715684043955,0.0010562875632405958,-0.11567208272624625,-17.672730753167755,-0.052475094839357014,0.7321322766919516,79.88085529952424
153,Grumiaux Gavotte bar2: 47,10.32127999325104,2.784875112122084,3.7852774873629613,26.209705456189496,7.77447242621665,10.745991240373385,0.0012468437753164216,-0.0025949338951472673,-22.486182479511502,-0.004474885301123494,0.2489284485582607,82.39420504631794
154,Grumiaux Gavotte bar2: 48,9.782198363597047,2.804857217342799,5.010384741351828,19.04404143306617,4.926669678984666,5.949284150767312,0.0037121269261531937,-0.2697405964099849,-15.453017834783997,-0.11501230584926252,2.165891937073937,75.956472706623
155,Grumiaux Gavotte bar2: 49,10.814401392633101,2.144268149570548,2.435367798929562,13.323816987613498,3.236215344016482,4.243507935875115,-0.00027899245477483226,0.05329532149194266,-21.861187399654593,-0.002900033537082008,-0.10461220847232623,79.14281387054645
156,Grumiaux Gavotte bar2: 50,28.46989466909025,6.331270009559404,6.2876618892198906,22.929769392031623,5.942675003886411,8.091641397797417,0.0019133241044737156,-0.29252462413933894,-12.442618512034995,0.04045026099275214,-1.055323462964959,69.16954580386313
